,relateid,actual,predicted,age_confidence,type_confidence,desc,atlas_estimate,color
7427,208012,OPGW,OGWD,0.9872326475452678,0.4480698318003136,SHALE,OPGW,UNKNOWN
7428,208012,OPVL,OGWD,0.9939885824649901,0.9817059039019823,SHALE,OPGW,UNKNOWN
7429,208013,OPDC,CJDN,0.6823692675371118,0.9927826251745707,SHAKOPEE-ONEOTA DOLOMITE,OPOD,UNKNOWN
7430,208013,OSTP,OGWD,0.969325141751956,0.8229412017536308,ST. PETER SANDSTONE,OSTP,UNKNOWN
7431,208013,OPGW,OGWD,0.9922959935017891,0.9674976304600161,PLATTEVILLE LIMESTONE,OPGW,UNKNOWN
7432,208014,OPDC,CJDN,0.8316332486946421,0.9981832273061454,SHALE,OPOD,GREEN   
7433,208016,OPDC,CJDN,0.7443149939381455,0.9854490346573856,SHAKOPEE,OPOD,PINK    
7434,208016,X,QUUU,0.9201733441217887,0.7411647383314441,PIT,QSH,UNKNOWN
7435,208024,QPUY,CSTL,0.8341763981243882,0.7717217688658736,"YELLOW SHALE, SANDSTONE & GRAVEL",QH2,UNKNOWN
7436,208024,QLUW,QLUU,0.7276892000122585,0.9881466218462149,WHITE SHALE & SANDROCK,QH2,UNKNOWN
